key	value	argument	flag	rule	note
.superpowers/sdd/2026-08-22-post-q-batch/addenda-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/addenda-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/progress.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-1-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-1-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-1-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-10-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-10-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-10-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-11-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-12-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-14-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-14-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-14-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-15-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-15-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-15-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-16-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-16-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-16-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-17-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-17-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-17-rereview-r1.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-17-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-17b-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-17b-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-17b-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-18-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-19-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-19b-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-19b-rereview-r1.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-20-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-21-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-21-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-22-amendment.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-22-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-22-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2b-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2b-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2b-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2c-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2c-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2c-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2d-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2d-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2d-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-2e-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-3-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-3-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-3-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-4-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-4-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-4-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-5-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-5-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-5-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-6-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-6-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-6-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-7-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-7-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-7-review.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-8-brief.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-8-report.md	historical			closed-pass-path	
.superpowers/sdd/2026-08-22-post-q-batch/task-8-review.md	historical			closed-pass-path	
